ear_data,ear
2006-07-21,83624.79096
2006-07-22,83368.58279
2006-07-23,83245.17365
2006-07-24,82821.11026
2006-07-25,82434.91144
2006-07-26,82074.69064
2006-07-27,81709.06567000001
2006-07-28,81392.98606000001
2006-07-29,82293.23235
2006-07-30,82221.13419
2006-07-31,81829.70839
2006-08-01,81490.37395
2006-08-02,81196.05296
2006-08-03,80858.86744
2006-08-04,80495.97309
2006-08-05,80147.14943
2006-08-06,79947.88342
2006-08-07,79450.67952
2006-08-08,78963.97188
2006-08-09,78523.88752999999
2006-08-10,78019.00999
2006-08-11,77530.71374
2006-08-12,77180.74123
2006-08-13,76986.33334
2006-08-14,76570.05718
2006-08-15,76094.22166
2006-08-16,75664.24294
2006-08-17,75262.26351
2006-08-18,74863.51139
2006-08-19,74547.69406000001
2006-08-20,74368.18644
2006-08-21,73934.42803
2006-08-22,73502.35752
2006-08-23,73080.64868
2006-08-24,72568.21794
2006-08-25,72069.85801
2006-08-26,71658.29785
2006-08-27,71412.25963
2006-08-28,70898.70843
2006-08-29,70484.35412
2006-08-30,70093.77239
2006-08-31,69640.84423
2006-09-01,69230.74515
2006-09-02,68974.27449
2006-09-03,68794.22076
2006-09-04,68414.82324
2006-09-05,67975.93025
2006-09-06,67578.39824000001
2006-09-07,67385.4583
2006-09-08,67016.14553
2006-09-09,66686.64768000001
2006-09-10,66493.67934
2006-09-11,65978.09265
2006-09-12,65469.669
2006-09-13,65032.18037
2006-09-14,64577.387070000004
2006-09-15,64075.608770000006
2006-09-16,63441.31515
2006-09-17,63223.8224
2006-09-18,63019.15203
2006-09-19,62604.25867
2006-09-20,62176.69171
2006-09-21,61803.67697
2006-09-22,61503.27788
2006-09-23,61209.75804
2006-09-24,61080.4977
2006-09-25,60760.056410000005
2006-09-26,60475.83432
2006-09-27,60167.17311
2006-09-28,59825.838690000004
2006-09-29,59490.95807
2006-09-30,59270.47249
2006-10-01,59167.32525
2006-10-02,58817.700170000004
2006-10-03,58594.257190000004
2006-10-04,58292.8015
2006-10-05,58033.373419999996
2006-10-06,57870.07837
2006-10-07,57790.83852
2006-10-08,57838.40485
2006-10-09,57610.85568
2006-10-10,57377.97328
2006-10-11,57167.140190000006
2006-10-12,57135.24704
2006-10-13,57062.879550000005
2006-10-14,56965.03723
2006-10-15,56944.43462
2006-10-16,56745.99843
2006-10-17,56613.589380000005
2006-10-18,56508.93871
2006-10-19,56489.88232
2006-10-20,56465.28706
2006-10-21,56379.69272
2006-10-22,56451.69137
2006-10-23,56292.42475
2006-10-24,56072.13092
2006-10-25,55817.75971
2006-10-26,55474.29079000001
2006-10-27,55172.94173
2006-10-28,54895.16659
2006-10-29,54787.64389
2006-10-30,54466.5364
2006-10-31,54013.3389
2006-11-01,53626.97702
2006-11-02,53457.99413
2006-11-03,53259.74233
2006-11-04,53135.54583
2006-11-05,53243.85591
2006-11-06,53100.5038
2006-11-07,52985.73263
2006-11-08,52974.95962
2006-11-09,52966.30726
2006-11-10,53080.85143
2006-11-11,53081.48253
2006-11-12,53201.55132
2006-11-13,52970.72563
2006-11-14,52785.778620000005
2006-11-15,52613.10083
2006-11-16,52303.21994
2006-11-17,51976.7862
