nom_reservatorio;cod_resplanejamento;tip_reservatorio;nom_bacia;nom_ree;id_subsistema;nom_subsistema;ena_data;ena_bruta_res_mwmed;ena_bruta_res_percentualmlt;ena_armazenavel_res_mwmed;ena_armazenavel_res_percentualmlt
TAQUARUÇU;62;Fio dagua;PARANAPANEMA;;SE;SUDESTE;2005-01-02;209.0;58.25;209.0;58.25
TRÊS IRMÃOS;43;Reservatório com Usina;TIETE;;SE;SUDESTE;2005-01-02;376.0;74.98;376.0;74.98
TRÊS MARIAS;156;Reservatório com Usina;SAO FRANCISCO;;SE;SUDESTE;2005-01-02;550.0;89.43;550.0;89.43
TUCURUI;275;Reservatório com Usina;TOCANTINS;;N;NORTE;2005-01-02;4169.0;51.04;4169.0;51.04
VOLTA GRANDE;11;Fio dagua;GRANDE;;SE;SUDESTE;2005-01-02;407.0;76.31;407.0;76.31
XINGO;178;Fio dagua;SAO FRANCISCO;;NE;NORDESTE;2005-01-02;3774.0;75.62;3774.0;75.62
A. VERMELHA;18;Reservatório com Usina;GRANDE;;SE;SUDESTE;2005-01-03;1521.0;89.14;1521.0;89.14
B. BONITA;37;Reservatório com Usina;TIETE;;SE;SUDESTE;2005-01-03;65.0;54.63;65.0;54.63
BARIRI;38;Fio dagua;TIETE;;SE;SUDESTE;2005-01-03;80.0;54.97;80.0;54.97
BOA ESPERANÇA;190;Reservatório com Usina;PARNAIBA;;NE;NORDESTE;2005-01-03;184.0;76.88;184.0;76.88
C. DOURADA;32;Fio dagua;PARANAIBA;;SE;SUDESTE;2005-01-03;648.0;81.81;648.0;81.81
CACONDE;14;Reservatório com Usina;GRANDE;;SE;SUDESTE;2005-01-03;37.0;47.22;37.0;47.22
CAMARGOS;1;Reservatório com Usina;GRANDE;;SE;SUDESTE;2005-01-03;28.0;57.43;28.0;57.43
CANA BRAVA;252;Fio dagua;TOCANTINS;;SE;SUDESTE;2005-01-03;301.0;48.24;301.0;48.24
CANDONGA;139;Fio dagua;DOCE;;SE;SUDESTE;2005-01-03;89.0;71.66;89.0;71.66
CANOAS I;52;Fio dagua;PARANAPANEMA;;SE;SUDESTE;2005-01-03;60.0;56.63;60.0;56.63
